# Author: Squire, M. & Gazda, R.
# License: Open Database License 1.0
# This data genderHicss2015.tsv is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: genderHicss2015.tsv
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
#
# fields:
# group: this is the software project
# medium: this is the type of communication artifact (irc or email)
# date: 
# user: first chatter
# message: the line with the gender stereotype
# user2: second chatter (if any)
# message2: continued gender stereotype (if any)
# coder: the person who coded these messages and followups
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
group	medium	Date	User	Message	User2	Message2	coder
ubuntu	irc	11/20/2004	hypa7ia	LifesizeKenDoll: my roots of shopping? :-p	LifesizeKenDoll	hypa7ia, girls like to shop - don't worry, I like to shop too	ms
ubuntu	irc	11/20/2004	Chibi	So, do we get a picture of the cute blonde girl next month? :P			ms
ubuntu	irc	11/20/2004	Chibi	One with the guy, blonde girl, and black girl, and one of the black girl. :/			ms
ubuntu	irc	11/24/2004	Adrenal	sorrry if i didn't thank u guys before	Tsjoklat	guys/girls/sheep	ms
ubuntu	irc	11/26/2004	StarScream	will_, hmm any suggestions, i dont mind using the shell but my girlfriend doesn't like doing console stuff atm			ms
ubuntu	irc	11/26/2004	xukun	n8 guys	xukun	and girls!	ms
ubuntu	irc	11/27/2004	ComCtrl6	you know, one thing i absolutly love about Ubuntu is that i was able to get the i8k (dell fan utility thingy) to work. that is all it takes for me to convert.	TonyW	dont any of you have girlfriends or anything?	ms
ubuntu	irc	11/27/2004	cenerentola	you can give user-support to 10 person... at the same time... its like me, sexually speaking.. with girls: we're special...;)			ms
ubuntu	irc	11/28/2004	socomm	Yo, any girls here!			ms
ubuntu	irc	12/4/2004	Tsjoklat	mojo my dear.. I am female, woman, girl... remember?	zenwhen	Girls smell nice. o;	ms
ubuntu	irc	12/6/2004	stvn	ogra: that I know, but it's for the computer i'm installing now and give to my sister next week ;)	rapha	stvn: I'm using bootsplash for my girlfriends computer, too, and she's never complained about "the cute penguin".	ms
ubuntu	irc	12/8/2004	Tsjoklat	part of the staff... LOL	zenwhen	Tsjoklat, thats why you're my #1 #ubuntu girl. (it helps that you are the only one)	ms
ubuntu	irc	12/10/2004	Myke	what a waste of apache resources	Myke	so many man hours to produce apache... as you used to let a girl speak even more...	ms
ubuntu	irc	12/10/2004	GoneBoB	people > money	|trey|	Tsjoklat: lost a few girls due to not having enough money right now :/	ms
ubuntu	irc	12/10/2004	|trey|	Tsjoklat: lost a few girls due to not having enough money right now :/	Matt|	man those type of girls really suck	ms
ubuntu	irc	12/10/2004	Matt|	man those type of girls really suck	socomm	|trey|: the operative word being `girls'.	ms
ubuntu	irc	12/10/2004	Tsjoklat	|trey| you should be.. I am not your average one	|trey|	Tsjoklat: all girls say that :(	ms
ubuntu	irc	12/10/2004	tvon|x31	Whats that saying? "Where men are men, boys are men and 16 year old girls are FBI agents"?			ms
ubuntu	irc	12/11/2004	king_arthur	palle: you must create a mount poin and mount like I do with my girlfriend :-)			ms
ubuntu	irc	12/11/2004	king_arthur	palle: create a directory if you want in / for instance /girlfriend			ms
ubuntu	irc	12/11/2004	palle	and mount /girlfriend with /dev/hda3 ?			ms
ubuntu	irc	12/11/2004	king_arthur	palle: you Mount /dev/hda3 into /girlfriend... did you get the idea?	king_arthur	palle: I told you: whatever you like.... /girlfirend /pippo /arthur whatever	ms
ubuntu	irc	12/11/2004	_|Imanewbie|_	I got a friend, he is jewish, uses glasses, has an ugly girl friend and likes XP he is d00med			ms
ubuntu	irc	12/12/2004	rory__	i doubt any of my teachers from school have a clue abt linux	Bugalugs	ah ok no women (or girls for that matter) came into my class	ms
ubuntu	irc	12/13/2004	Rene_S	I like it, makes it easier to figure out, my wife installed it yesterday and she cant even figure out how to install Office on windows			ms
ubuntu	irc	12/13/2004	Rene_S	My wife cant work the installer for debian or ubuntu, she doesnt understand what anything means hehe, no pictures			ms
ubuntu	irc	12/14/2004	Nexinarus	hey where is a JPG of that girl on the cd cover, i want it,	Nexinarus	i want the full pic of that cleavage girl on the ubuntu cd cover. its such a funny pic :p	ms
ubuntu	irc	12/14/2004	heilin	excuse me.. can you tell me how many girls are in this channel?			ms
ubuntu	irc	12/14/2004	heilin	excuse me.. can you tell me how many girls are in this channel?	heilin	siretart: how many girls are there?	ms
ubuntu	irc	12/14/2004	siretart	heilin: dont care..	heilin	siretart: why? :( I am a girl..	ms
ubuntu	irc	12/15/2004	JDahl	how much soldering are guys doing?	Tsjoklat	JDahl I am a girl and I solder	ms
ubuntu	irc	12/15/2004	Tsjoklat	JDahl I like to solder when it is friday night and I got no date (that means every friday night)	GotD0t	or i guess oh girl is the right word Tsjoklat	ms
ubuntu	irc	12/15/2004	GotD0t	or i guess oh girl is the right word Tsjoklat	Tsjoklat	<--- doesn't do 'girlie' hobbies	ms
ubuntu	irc	12/18/2004	TongMaster	but as I've already off-loaded the last one, it's a bit hard to do when you're single. I suppose I could celebrate eahc time I meet someone interesting and manage not to get sucked into a relationship.	ctd	No, Tongmaster brings all the girls to the yard..	ms
ubuntu	irc	12/19/2004	Rene_S	Dont make me get your Moms down here			ms
ubuntu	irc	12/20/2004	Tsjoklat	Q-collective I am a girl.. I can demand whatever I want			ms
ubuntu	irc	12/20/2004	Tsjoklat	|QuaD night even though I am not a guy	|QuaD-	Tsjoklat: there is always like 1 girl in the linux chats that bite me in the a$$	ms
ubuntu	irc	12/20/2004		rory__ thinks ubuntu cds will make good xmas presents...		rory__ can imagine the excited looks on his girlfriends face already....	ms
ubuntu	irc	12/22/2004		warty is now known as warty_girl	wood1	Hmm, good to see a warty_girl in a Ubuntu chat forum	ms
ubuntu	irc	12/22/2004	Simira	Tsjoklat: are you at the conference?	Tsjoklat	Simira no I am not, but a few people I know were there and they mentioned that you are a girl too	ms
ubuntu	irc	12/22/2004		siimo wonders if warty_girl will change her name to hoary_girl when its out lol that sounds rude			ms
ubuntu	irc	12/23/2004	gangalino	AFX: racism doesn't depend on color, you got some real white looking Black people also that are still victimized by racism	AFX	did you hear about the white guy that beat the other white guy because he once dated a black girl?	ms
ubuntu	irc	12/24/2004	amathis	Girls don't seem to like it when you ask them if you can suck their blood as a sign of affection.			ms
ubuntu	irc	12/26/2004	|QuaD-	Tsjoklat: i decided to idle in this debian woman chat that whoever was talking about... it is the funniest thing	|QuaD-	well, in most normal channels, you talk about the topic, like here it is ubuntu, or whatever, so i assume that there it is... well debian... however they are having the same type of girltalk my female friends tend to have	ms
ubuntu	irc	12/26/2004	|QuaD-	Tsjoklat: it kind of reminds me of a woman's rights organization... though they forgot what they are fighting for			ms
ubuntu	irc	12/26/2004	Tsjoklat	|QuaD well it seems that linux for/with women is still far gone... too bad, was hoping that something would happen at last... guess I am stuck with you guys			ms
ubuntu	irc	12/26/2004	Tsjoklat	|QuaD that's beyond the point... I think if women in linux ever want to be taken serious they should have a more seriouse approach to matters then talking about menstrual pads	BAOBAB	|QuaD yes. My question: Is there life on mars and girls?	ms
ubuntu	irc	12/26/2004	BAOBAB	beezly: how you know about Taiwan?	BAOBAB	beezly: lets go to Taiwan for pretty girls :)	ms
ubuntu	irc	12/26/2004	BAOBAB	cef: ok. Ubuntu is the best. Ubuntu is my religion. Ubuntu is my wife			ms
ubuntu	irc	12/27/2004	gpled	Tsjoklat: farruinn: thanks, you guys got my install going!	Tsjoklat	gpled it's girl but your welcome anyways	ms
ubuntu	irc	12/28/2004	cottonginntonix	im a "girl" when it comes to linux and i usually have people do stuff for me beut im tryint o learn my self and im having a hard time configuring this java for my browser....			ms
ubuntu	irc	12/29/2004	anir	hey guys	sladen	and girls	ms
ubuntu	irc	12/29/2004	sladen	and girls	anir	no girls here i guess	ms
ubuntu	irc	12/29/2004	anir	no girls here i guess	socomm	Girls? Hahaha.	ms
ubuntu	irc	12/31/2004	scoon	thenuke, god bless booze, without it, there would be no hot girls.			ms
ubuntu	irc	1/3/2005	pepsi	warty, whorey, grumpy girlfriends			ms
ubuntu	irc	1/3/2005	_dud_	prolly not many 12 year old girls running ubuntu though ;)			ms
ubuntu	irc	1/3/2005	Pozac	pw, apt-get install ubuntu-calendar	ogra	Pozac: come on, leave something for the girls around	ms
ubuntu	irc	1/3/2005	ogra	Pozac: come on, leave something for the girls around	Pozac	ogra, there are girls around?	ms
ubuntu	irc	1/3/2005	Crane	interested in the calender but don't need to explain naked lady to children	_dud_	as this pc belongs to a 12yo girl >_<	ms
ubuntu	irc	1/3/2005	ogra	suzan: would you mind to rewrite your photoshop guide in english ? i pointed someone there yesterday and he loved it, but had probs to understand the babelfish translation :)	_dud_	ogra, stop scaring the girls away heh	ms
ubuntu	irc	1/4/2005	Madd_Marshall	well i dont think i want a girl who is impressed by my conversion skills....			ms
ubuntu	irc	1/4/2005	Madd_Marshall	well i dont think i want a girl who is impressed by my conversion skills....	Madd_Marshall	unless she is a hot blonde with glasses and a schoolgirl outfit	ms
ubuntu	irc	1/4/2005	|QuaD-	Kamion: who is the girl in the ubuntu-calendar wallpaper?			ms
ubuntu	irc	1/5/2005		Setite wonders why Pozac feels inclined to state the obvious	Pozac	And your nick is a girls nick.	ms
ubuntu	irc	1/5/2005	Pozac	And your nick is a girls nick.	Setite	its the name of a type of vampire... how is it a girls nick	ms
ubuntu	irc	1/5/2005	Setite	its the name of a type of vampire... how is it a girls nick	kebac	it just sounds girlish	ms
ubuntu	irc	1/5/2005	zenwhen	I'll go without hand holding while editing config files thanks.	thoreauputic	zenwhen: Ubuntu is not for hardcore Linux people - I spent hours helping a girl who just liked it and wanted to learn	ms
ubuntu	irc	1/6/2005	DeepSpaceAnt	I can't fake it, just break it, and when I take it See I specialize in making all the girls get naked			ms
ubuntu	irc	1/8/2005	GentleHatemonger	Illinois Math and Science Academy	GentleHatemonger	blah, the girls aren't that attractive	ms
ubuntu	irc	1/8/2005	Scorp	wouldn't it be cool to live with a girl? (now I know I say this in a Linux chatroom but...)			ms
